oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,667GS2035,GOI LOAN  6.67% 2035,100.7,105,105.73,104,104,418.73,4,N, ,3,130,97.76
N,GS,668GS2040,GOI LOAN  6.68% 2040,97.5,96.5,96.5,96.5,96.5,198790,2060,N, ,4,102,95.1
N,GS,675GS2029,GOI LOAN   6.75% 2029,102.58,102.8,102.8,101.16,102.1,41040932.7,400628,N, ,13,113,100.6
N,GS,676GS2061,GOI LOAN  6.76% 2061,90.93,91.9,91.9,90.85,90.88,379671.73,4160,N, ,37,102.5,90.7
N,GS,679GS2027,GOI LOAN 6.79% 2027,102.25,102.26,102.26,102.26,102.26,3067800,30000,N, ,3,105,100.85
N,GS,679GS2031,GOI LOAN   6.79% 2031,102.2,101,101.95,100.3,101.7,41396835,407500,N, ,14,107.56,99.76
N,GS,679GS2034,GOI LOAN  6.79% 2034,102.55,101.45,101.45,101.1,101.1,242990,2400,N, ,2,105.2,100.05
N,GS,68GS2060,GOI LOAN  6.8% 2060,91.8,91.8,96.38,91.79,91.79,276058.13,3007,N, ,5,105.47,91.03
N,GS,690GS2065,GOI LOAN  6.90% 2065,94.75,94.75,94.9,94,94.1,1612660.43,17114,N, ,33,102.55,93.03
N,GS,692GS2039,GOI LOAN   6.92% 2039,101.7,99.65,99.65,99.65,99.65,1594.4,16,N, ,1,108.89,98.85
N,GS,695GS2061,GOI LOAN  6.95% 2061,95,94.01,95.4,93.05,93.05,305861.88,3255,N, ,14,107.65,92.5
N,GS,697GR2034,GOI LOAN   6.97% 2034,92.12,92.12,92.12,92.12,92.12,4145.4,45,N, ,2,102.84,92.12
N,GS,698GR2054,GOI LOAN   6.98% 2054,95.53,95.53,95.53,94,94,9591.06,102,N, ,3,104.58,93.1
N,GS,699GS2026,GOI LOAN  6.99% 2026,102.75,102.89,103,102.81,102.81,89786,872,N, ,3,104.5,99.27
N,GS,699GS2051,GOI LOAN  6.99% 2051,94.37,96.02,96.02,95,95.3,72054.9,753,N, ,13,107,94.37
